pmsID,status,depDate,arrDate,insDate,rooms,amount,daily_rates,breakfast,cancel_date,group_name,persons,hotel_id,rateCode_id,roomType_id,source_id,company_agent_id,market_id,package_rates,tracking_id,room_number
45701,Active,2022-08-02,2022-08-01,2022-07-26,1,3790.00,[3790.0],0E-10,None,None,2,f9816e16d75a4d4b868fbd78b8a31b51,30822,516,14218,256935,295,None,20220801-5201-152089948,None
45742,Active,2022-08-02,2022-08-01,2022-07-28,1,3890.00,[3890.0],0E-10,None,None,2,f9816e16d75a4d4b868fbd78b8a31b51,30822,516,14218,256935,295,None,20220801-5201-152517100,None
45803,Active,2022-08-02,2022-08-01,2022-08-01,1,3490.00,[3490.0],0E-10,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30820,516,14223,19860,295,None,None,None
45669,Active,2022-08-03,2022-07-31,2022-07-24,1,4641.00,"[5547.75, 4516.2, 4641.0]",1300.0000000000,None,None,2,f9816e16d75a4d4b868fbd78b8a31b51,30821,516,14223,256936,295,None,23584979,None
45678,Active,2022-08-03,2022-08-01,2022-07-25,1,4165.00,"[4134.0, 4165.2]",650.0000000000,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30821,516,14223,256936,295,None,23599994,None
45777,Active,2022-08-03,2022-08-01,2022-07-30,1,4540.00,"[5840.0, 5340.0]",650.0000000000,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30821,516,14223,19860,295,None,None,None
45778,Active,2022-08-03,2022-08-01,2022-07-30,1,4540.00,"[9290.0, 5340.0]",650.0000000000,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30821,516,14223,19860,295,None,None,None
45779,Active,2022-08-03,2022-08-01,2022-07-30,1,3890.00,"[4740.0, 3890.0]",650.0000000000,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30820,516,14223,19860,295,None,None,None
45774,Active,2022-08-04,2022-08-02,2022-07-30,1,3850.00,"[3890.0, 3850.0]",0E-10,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30822,516,14218,217260,295,None,20220802-5201-152861373,None
45805,Active,2022-08-04,2022-08-03,2022-08-02,1,4050.00,[4050.0],0E-10,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30822,516,14218,256935,295,None,20220803-5201-153391622,None
45821,Active,2022-08-04,2022-08-03,2022-08-03,1,5500.00,[5500.0],725.0000000000,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,31081,516,14223,19860,295,None,None,None
45822,Active,2022-08-04,2022-08-03,2022-08-03,1,5500.00,[5500.0],725.0000000000,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,31081,516,14223,19860,295,None,None,None
45823,Active,2022-08-04,2022-08-03,2022-08-03,1,4050.00,[4050.0],0E-10,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30820,516,14223,19860,295,None,None,None
45651,Active,2022-08-05,2022-07-28,2022-07-22,1,6360.00,"[4500.0, 4140.0, 4600.0, 4040.0, 4040.0, 4240.0, 4240.0, 6360.0]",650.0000000000,None,None,1,f9816e16d75a4d4b868fbd78b8a31b51,30821,516,14223,256940,295,None,1145007,None
